SEQ|Species|Sources|Tree|Treeish_batch|Treeish_justification|SID|WCVP|WCVP_match|TRY_Species|WFO_Accepted|WFO_Unchecked|WFO_Synonym|WFO_none
14662|Bruchia vogesiaca|1|NO||""|wfo-0001155861|""|WCVP|1|1|0|0|0
14663|Brugmansia arborea|9|YES|1|GlobUNT|wfo-0001019752|wcvp-2683995|WCVP|4|1|0|0|0
14664|Brugmansia aurea|6|YES|1|GlobUNT|wfo-0001019755|wcvp-2683997|IPNI|2|1|0|0|0
14665|Brugmansia candida|9|YES|1|TreeGOER+|wfo-0001019746|wcvp-2683999|WCVP|7|0|0|1|0
14666|Brugmansia insignis|5|YES|1|GlobUNT|wfo-0001019767|wcvp-2684008|IPNI|6|1|0|0|0
14667|Brugmansia sanguinea|9|YES|1|TreeGOER|wfo-0001019777|wcvp-2684017|WCVP|2|1|0|0|0
14668|Brugmansia suaveolens|11|YES|1|GlobUNT|wfo-0001019783|wcvp-2684019|WCVP|4|1|0|1|0
14669|Brugmansia versicolor|7|YES|1|TreeGOER|wfo-0001019785|wcvp-2684020|WCVP|3|1|0|0|0
14670|Bruguiera cylindrica|10|YES|1|TreeGOER|wfo-0000572742|wcvp-2684033|IPNI|6|1|0|0|0
14671|Bruguiera exaristata|8|YES|1|TreeGOER|wfo-0000572746|wcvp-2684037|IPNI|4|1|0|0|0
14672|Bruguiera gymnorhiza|25|YES|1|TreeGOER|wfo-0000572747|wcvp-2684038|IPNI|15|1|0|0|0
14673|Bruguiera hainesii|5|YES|1|TreeGOER|wfo-0000572750|wcvp-2684040|IPNI|2|1|0|0|0
14674|Bruguiera parviflora|12|YES|1|TreeGOER|wfo-0000572758|wcvp-2684048|IPNI|5|1|1|0|0
14675|Bruguiera sexangula|12|YES|1|TreeGOER|wfo-0000572763|wcvp-2684052|IPNI|4|1|0|0|0
14676|Bruinsmia polysperma|4|YES|1|TreeGOER|wfo-0000572771|wcvp-2684060|IPNI|3|1|0|0|0
14677|Bruinsmia styracoides|4|YES|1|TreeGOER|wfo-0000572772|wcvp-2684061|IPNI|1|1|0|0|0
14678|Brunellia acostae|1|YES|1|TreeGOER|wfo-0000437737|wcvp-24842|IPNI|3|1|0|0|0
14679|Brunellia acutangula|1|YES|1|TreeGOER|wfo-0000437876|wcvp-24844|IPNI|2|1|0|0|0
14680|Brunellia amayensis|1|YES|1|TreeGOER|wfo-0000437999|wcvp-24846|IPNI|1|1|0|0|0
14681|Brunellia boliviana|1|YES|1|TreeGOER|wfo-0000438125|wcvp-24848|IPNI|1|1|0|0|0
14682|Brunellia boqueronensis|1|YES|1|TreeGOER|wfo-0000438357|wcvp-24851|IPNI|1|1|0|0|0
14683|Brunellia briquetii|1|YES|1|TreeGOER|wfo-0000438434|wcvp-24852|IPNI|1|1|0|0|0
14684|Brunellia brunnea|1|YES|1|TreeGOER|wfo-0000438576|wcvp-24854|IPNI|1|1|0|0|0
14685|Brunellia cayambensis|1|YES|1|TreeGOER|wfo-0000438783|wcvp-24857|WCVP|2|1|0|0|0
14686|Brunellia comocladifolia|7|YES|1|TreeGOER|wfo-0000438941|wcvp-24859|IPNI|2|1|0|0|0
14687|Brunellia costaricensis|3|YES|1|TreeGOER|wfo-0000439639|wcvp-24871|IPNI|2|1|0|0|0
14688|Brunellia cuzcoensis|1|YES|1|TreeGOER|wfo-0000439937|wcvp-24875|IPNI|1|1|0|0|0
14689|Brunellia dichapetaloides|1|YES|1|TreeGOER|wfo-0000440096|wcvp-24877|IPNI|1|1|0|0|0
14690|Brunellia dulcis|1|YES|1|TreeGOER|wfo-0000440240|wcvp-24879|IPNI|2|1|0|0|0
14691|Brunellia elliptica|1|YES|1|TreeGOER|wfo-0000440388|wcvp-24881|IPNI|1|1|0|0|0
14692|Brunellia farallonensis|1|YES|1|TreeGOER|wfo-0000440548|wcvp-24883|IPNI|1|1|0|0|0
14693|Brunellia foreroi|1|YES|1|TreeGOER|wfo-0000440626|wcvp-24884|IPNI|1|1|0|0|0
14694|Brunellia goudotii|1|YES|1|TreeGOER|wfo-0000440923|wcvp-24888|IPNI|1|1|0|0|0
14695|Brunellia hexasepala|1|YES|1|TreeGOER|wfo-0000441002|wcvp-24889|IPNI|1|1|0|0|0
14696|Brunellia hygrothermica|1|YES|1|TreeGOER|wfo-0000441206|wcvp-24892|IPNI|3|1|0|0|0
14697|Brunellia inermis|2|YES|1|TreeGOER|wfo-0000441269|wcvp-24893|IPNI|1|1|0|0|0
14698|Brunellia integrifolia|1|YES|1|TreeGOER|wfo-0000441400|wcvp-24895|IPNI|1|1|0|0|0
14699|Brunellia latifolia|1|YES|1|TreeGOER|wfo-0000441656|wcvp-24899|IPNI|1|1|0|0|0
14700|Brunellia littlei|1|YES|1|TreeGOER|wfo-0000441720|wcvp-24900|IPNI|1|1|0|0|0
14701|Brunellia macrophylla|1|YES|1|TreeGOER|wfo-0000441918|wcvp-24903|IPNI|2|1|0|0|0
14702|Brunellia mexicana|1|YES|1|TreeGOER|wfo-0000441943|wcvp-24904|IPNI|2|1|0|0|0
14703|Brunellia morii|1|YES|1|TreeGOER|wfo-0000441966|wcvp-24906|IPNI|1|1|0|0|0
14704|Brunellia occidentalis|1|YES|1|TreeGOER|wfo-0000442002|wcvp-24908|IPNI|1|1|0|0|0
14705|Brunellia oliveri|1|YES|1|TreeGOER|wfo-0000442032|wcvp-24909|IPNI|1|1|0|0|0
14706|Brunellia ovalifolia|1|YES|1|TreeGOER|wfo-0000442060|wcvp-24910|IPNI|1|1|0|0|0
14707|Brunellia pallida|1|YES|1|TreeGOER|wfo-0000442100|wcvp-24911|IPNI|1|1|0|0|0
14708|Brunellia pauciflora|2|YES|1|TreeGOER|wfo-0000442123|wcvp-24912|IPNI|1|1|0|0|0
14709|Brunellia penderiscana|1|YES|1|TreeGOER|wfo-0000442161|wcvp-24914|IPNI|1|1|0|0|0
14710|Brunellia pitayensis|1|YES|1|TreeGOER|wfo-0000442194|wcvp-24916|IPNI|1|1|0|0|0
14711|Brunellia propinqua|3|YES|1|TreeGOER|wfo-0000442210|wcvp-24917|IPNI|2|1|0|0|0
14712|Brunellia putumayensis|1|YES|1|TreeGOER|wfo-0000442264|wcvp-24920|IPNI|1|1|0|0|0
14713|Brunellia rhoides|1|YES|1|TreeGOER|wfo-0000442425|wcvp-24923|IPNI|1|1|0|0|0
14714|Brunellia sibundoya|4|YES|1|TreeGOER|wfo-0000442603|wcvp-24927|IPNI|3|1|0|0|0
14715|Brunellia standleyana|1|YES|1|TreeGOER|wfo-0000442827|wcvp-24931|IPNI|1|1|0|0|0
14716|Brunellia stenoptera|2|YES|1|TreeGOER|wfo-0000442874|wcvp-24932|IPNI|1|1|0|0|0
14717|Brunellia stuebelii|2|YES|1|GlobUNT|wfo-0000442931|wcvp-24933|IPNI|1|1|0|0|0
14718|Brunellia subsessilis|1|YES|1|TreeGOER|wfo-0000442981|wcvp-24934|IPNI|1|1|0|0|0
14719|Brunellia susaconensis|1|YES|1|TreeGOER|wfo-0001342166|wcvp-496323|IPNI|1|1|0|0|0
14720|Brunellia tomentosa|1|YES|1|TreeGOER|wfo-0000443131|wcvp-24936|IPNI|1|1|0|0|0
14721|Brunellia trianae|1|YES|1|TreeGOER|wfo-0000443186|wcvp-24937|IPNI|1|1|0|0|0
14722|Brunellia trigyna|1|YES|1|TreeGOER|wfo-0000443251|wcvp-24938|IPNI|1|1|0|0|0
14723|Brunellia velutina|1|YES|1|TreeGOER|wfo-0000443318|wcvp-24939|IPNI|2|1|0|0|0
14724|Brunellia weberbaueri|1|YES|1|TreeGOER|wfo-0000443405|wcvp-24940|IPNI|1|1|0|0|0
14725|Brunellia zamorensis|2|YES|1|TreeGOER|wfo-0000443467|wcvp-24941|IPNI|1|1|0|0|0
14726|Brunfelsia americana|8|YES|1|TreeGOER|wfo-0001019794|wcvp-2684068|IPNI|3|1|0|0|0
14727|Brunfelsia australis|5|YES|1|TreeGOER|wfo-0001019798|wcvp-2684071|WCVP|1|1|0|0|0
14728|Brunfelsia brasiliensis|1|NO||""|wfo-0001019802|wcvp-2684075|IPNI|2|1|0|0|0
14729|Brunfelsia chiricaspi|5|NO||""|wfo-0001019820|wcvp-2684088|WCVP|1|1|0|0|0
14730|Brunfelsia chocoensis|1|NO||""|wfo-0001019821|wcvp-2684089|WCVP|1|1|0|0|0
14731|Brunfelsia clandestina|3|YES|1|TreeGOER|wfo-0001019822|wcvp-2684090|WCVP|1|1|0|0|0
14732|Brunfelsia cuneifolia|1|NO||""|wfo-0001019825|wcvp-2684093|IPNI|1|1|0|0|0
14733|Brunfelsia densifolia|3|YES|1|TreeGOER|wfo-0001019826|wcvp-2684094|IPNI|2|1|0|0|0
14734|Brunfelsia dwyeri|2|YES|1|TreeGOER|wfo-0001019827|wcvp-2684095|IPNI|1|1|0|0|0
14735|Brunfelsia grandiflora|8|YES|1|TreeGOER|wfo-0001019834|wcvp-2684099|IPNI|3|1|0|1|0
14736|Brunfelsia guianensis|1|NO||""|wfo-0001019838|wcvp-2684102|IPNI|1|1|0|0|0
14737|Brunfelsia hydrangeiformis|1|NO||""|wfo-0001019845|wcvp-2684108|IPNI|3|1|0|0|0
14738|Brunfelsia imatacana|1|YES|1|TreeGOER|wfo-0001019850|wcvp-2684112|WCVP|1|1|0|0|0
14739|Brunfelsia jamaicensis|2|YES|1|TreeGOER|wfo-0001019852|wcvp-2684114|IPNI|1|1|0|0|0
14740|Brunfelsia lactea|2|YES|1|TreeGOER|wfo-0001019853|wcvp-2684115|WCVP|2|1|0|0|0
14741|Brunfelsia latifolia|3|NO||""|wfo-0001019855|wcvp-2684117|IPNI|2|1|0|1|0
14742|Brunfelsia macrocarpa|2|YES|1|TreeGOER|wfo-0001019862|wcvp-2684122|WCVP|1|1|0|0|0
14743|Brunfelsia martiana|1|YES|1|TreeGOER|wfo-0001019868|wcvp-2684127|IPNI|1|1|0|0|0
14744|Brunfelsia membranacea|1|YES|1|TreeGOER|wfo-0001019869|wcvp-2684128|IPNI|1|1|0|0|0
14745|Brunfelsia mire|1|NO||""|wfo-0001019870|wcvp-2684129|IPNI|1|1|0|0|0
14746|Brunfelsia nitida|3|YES|1|TreeGOER|wfo-0001019875|wcvp-2684131|IPNI|1|1|0|0|0
14747|Brunfelsia pauciflora|6|YES|1|TreeGOER|wfo-0001019884|wcvp-2684139|IPNI|4|1|0|0|0
14748|Brunfelsia plowmaniana|1|YES|1|TreeGOER|wfo-0001019890|wcvp-2913495|WCVP|1|1|0|0|0
14749|Brunfelsia portoricensis|2|YES|1|TreeGOER|wfo-0001019892|wcvp-2684145|WCVP|1|1|0|0|0
14750|Brunfelsia splendida|1|YES|1|TreeGOER|wfo-0001019907|wcvp-2684159|IPNI|1|1|0|0|0
14751|Brunfelsia undulata|2|YES|1|TreeGOER|wfo-0001019911|wcvp-2684163|IPNI|1|1|0|0|0
14752|Brunfelsia uniflora|11|YES|1|TreeGOER|wfo-0001019912|wcvp-2684164|WCVP|3|1|0|1|0
14753|Brunia paleacea|1|NO||""|wfo-0000572830|wcvp-2684217|IPNI|5|1|0|1|0
14754|Brunnera macrophylla|6|NO||""|wfo-0000572861|wcvp-2684249|IPNI|4|1|0|0|0
14755|Brunnera sibirica|1|NO||""|wfo-0000572870|wcvp-2684257|IPNI|1|1|0|0|0
14756|Brunnichia ovata|2|NO||""|wfo-0000572877|wcvp-2684265|IPNI|4|1|0|0|0
14757|Brunonia australis|1|NO||""|wfo-0000572878|wcvp-2684267|IPNI|3|1|0|0|0
14758|Brunoniella acaulis|1|NO||""|wfo-0000572884|wcvp-2684274|IPNI|1|1|0|0|0
14759|Brunsvigia bosmaniae|1|NO||""|wfo-0000762193|wcvp-301169|IPNI|4|1|0|0|0
14760|Brunsvigia elandsmontana|1|NO||""|wfo-0000762201|wcvp-301176|IPNI|1|1|0|0|0
14761|Brunsvigia grandiflora|1|NO||""|wfo-0000762208|wcvp-301182|IPNI|2|1|0|0|0
14762|Brunsvigia gregaria|1|NO||""|wfo-0000762209|wcvp-301183|IPNI|2|1|0|0|0
14763|Brunsvigia josephinae|2|NO||""|wfo-0000762214|wcvp-301188|IPNI|2|1|0|0|0
14764|Brunsvigia litoralis|1|NO||""|wfo-0000762219|wcvp-301192|IPNI|2|1|0|0|0
14765|Brunsvigia natalensis|1|NO||""|wfo-0000762230|wcvp-301201|IPNI|1|1|0|0|0
14766|Brunsvigia nervosa|1|NO||""|wfo-0001423957|wcvp-311622|IPNI|5|1|0|0|0
14767|Brunsvigia orientalis|1|NO||""|wfo-0000762231|wcvp-301202|IPNI|5|1|0|0|0
14768|Brunsvigia radulosa|2|NO||""|wfo-0000762235|wcvp-301206|IPNI|2|1|0|0|0
14769|Brya buxifolia|1|YES|1|TreeGOER|wfo-0000164547|wcvp-2684285|IPNI|1|1|0|0|0
14770|Brya ebenus|6|YES|1|TreeGOER|wfo-0000173962|wcvp-2684288|IPNI|3|1|0|0|0
14771|Brya subinermis|1|YES|1|TreeGOER|wfo-0000164549|wcvp-2684293|IPNI|1|1|0|0|0
14772|Bryaspis psittacorhyncha|1|NO||""|wfo-0001263225|wcvp-2684315|IPNI|3|1|0|0|0
14773|Bryoandersonia illecebra|1|NO||""|wfo-0001182893|""|WCVP|1|1|0|0|0
14774|Bryobrittonia longipes|1|NO||""|wfo-0001146786|""|WCVP|1|1|0|0|0
14775|Bryocrumia vivicolor|1|NO||""|wfo-0001195449|""|WCVP|1|1|0|0|0
14776|Bryoerythrophyllum columbianum|1|NO||""|wfo-0001146582|""|WCVP|1|1|0|0|0
14777|Bryoerythrophyllum ferruginascens|1|NO||""|wfo-0001155915|""|WCVP|1|1|0|0|0
14778|Bryoerythrophyllum inaequalifolium|1|NO||""|wfo-0001185943|""|WCVP|1|1|0|0|0
14779|Bryoerythrophyllum recurvirostrum|1|NO||""|wfo-0001155921|""|WCVP|2|1|0|0|0
14780|Bryolawtonia vancouveriensis|1|NO||""|wfo-0001195910|""|WCVP|1|1|0|0|0
14781|Bryonia alba|13|NO||""|wfo-0000572927|wcvp-2684337|IPNI|8|1|0|0|0
14782|Bryonia cretica|10|NO||""|wfo-0000572960|wcvp-2684368|IPNI|4|1|0|0|0
14783|Bryonia multiflora|1|NO||""|wfo-0000573053|wcvp-2684453|IPNI|2|1|0|0|0
14784|Bryoxiphium norvegicum|1|NO||""|wfo-0001155949|""|WCVP|1|1|0|0|0
14785|Bryum argenteum|1|NO||""|wfo-0001156092|""|WCVP|1|1|0|0|0
14786|Bryum blindii|1|NO||""|wfo-0001156231|""|WCVP|1|1|0|0|0
14787|Bryum calobryoides|1|NO||""|wfo-0001195127|""|WCVP|1|1|0|0|0
14788|Bryum oblongum|1|NO||""|wfo-0001176605|""|WCVP|1|1|0|0|0
14789|Bryum riparium|1|NO||""|wfo-0001176976|""|WCVP|1|1|0|0|0
14790|Bryum veronense|1|NO||""|wfo-0001177426|""|WCVP|0|1|0|0|0
14791|Bubbia queenslandiana|1|YES|2|lifeform tree|wfo-0001368207|wcvp-2469820|WCVP|0|0|1|0|0
14792|Buchanania amboinensis|5|YES|1|TreeGOER|wfo-0000573368|wcvp-2684754|IPNI|2|1|0|0|0
14793|Buchanania arborescens|13|YES|1|TreeGOER|wfo-0000573371|wcvp-2684757|IPNI|8|1|0|1|0
14794|Buchanania axillaris|5|YES|1|TreeGOER|wfo-0000573378|wcvp-2684764|IPNI|1|1|0|0|0
14795|Buchanania cochinchinensis|21|YES|1|TreeGOER|wfo-0000573381|wcvp-2684767|IPNI|9|1|0|0|0
14796|Buchanania engleriana|1|YES|1|Synthesis|wfo-0000573384|wcvp-2684770|IPNI|1|1|0|0|0
14797|Buchanania glabra|1|YES|1|TreeGOER|wfo-0000573399|wcvp-2684784|IPNI|1|1|0|0|0
14798|Buchanania insignis|5|YES|1|TreeGOER|wfo-0000573403|wcvp-2684788|IPNI|2|1|0|0|0
14799|Buchanania lanceolata|3|YES|1|TreeGOER|wfo-0000573406|wcvp-2684791|IPNI|1|1|0|0|0
14800|Buchanania lancifolia|4|YES|1|GlobUNT|wfo-0000573407|wcvp-2684792|IPNI|1|1|0|0|0
14801|Buchanania macrocarpa|7|YES|1|TreeGOER|wfo-0000573419|wcvp-2684802|IPNI|1|1|0|1|0
14802|Buchanania mangoides|2|YES|1|TreeGOER|wfo-0000573422|wcvp-2684805|IPNI|2|1|0|0|0
14803|Buchanania microphylla|5|YES|1|TreeGOER|wfo-0000573424|wcvp-2684807|IPNI|2|1|0|0|0
14804|Buchanania nitida|2|YES|1|TreeGOER|wfo-0000573432|wcvp-2684814|IPNI|1|1|0|0|0
14805|Buchanania obovata|9|YES|1|TreeGOER|wfo-0000573436|wcvp-2684818|IPNI|5|1|0|0|0
14806|Buchanania palawensis|2|YES|1|TreeGOER|wfo-0000573440|wcvp-2684821|IPNI|1|1|0|0|0
14807|Buchanania reticulata|2|YES|1|TreeGOER|wfo-0000573452|wcvp-2684832|IPNI|1|1|0|1|0
14808|Buchanania sessilifolia|7|YES|1|TreeGOER|wfo-0000573455|wcvp-2684835|IPNI|2|1|0|0|0
14809|Buchanania siamensis|2|YES|1|TreeGOER|wfo-0000573456|wcvp-2684836|IPNI|2|1|0|0|0
14810|Buchanania splendens|4|YES|1|TreeGOER|wfo-0000573461|wcvp-2684840|IPNI|1|1|0|0|0
14811|Buchanania vitiensis|3|YES|1|TreeGOER|wfo-0000573464|wcvp-2684843|IPNI|1|1|0|0|0
14812|Buchholzia coriacea|7|YES|1|TreeGOER|wfo-0000573514|wcvp-2684913|IPNI|1|1|0|0|0
14813|Buchholzia tholloniana|3|YES|1|TreeGOER|wfo-0000573519|wcvp-2684918|IPNI|2|1|0|0|0
14814|Buchnera americana|2|NO||""|wfo-0001136527|wcvp-2684926|IPNI|3|1|0|0|0
14815|Buchnera ciliata|2|NO||""|wfo-0000573571|wcvp-2684970|IPNI|2|1|0|0|0
14816|Buchnera cruciata|2|NO||""|wfo-0000573579|wcvp-2684978|IPNI|3|1|0|0|0
14817|Buchnera dura|1|NO||""|wfo-0000573594|wcvp-2684993|IPNI|3|1|0|0|0
14818|Buchnera floridana|1|NO||""|wfo-0000573618|wcvp-2685016|IPNI|2|1|0|0|0
14819|Buchnera hispida|3|NO||""|wfo-0000573639|wcvp-2685035|IPNI|5|1|0|0|0
14820|Buchnera leptostachya|2|NO||""|wfo-0000573661|wcvp-2685056|IPNI|2|1|0|0|0
14821|Buchnera longifolia|2|NO||""|wfo-0000573677|wcvp-2685070|IPNI|2|1|0|2|0
14822|Buchnera obliqua|1|NO||""|wfo-0000573711|wcvp-2685100|IPNI|3|1|0|0|0
14823|Buchnera pusilla|1|NO||""|wfo-0001136650|wcvp-2685125|IPNI|3|1|0|1|0
14824|Buchnera speciosa|1|NO||""|wfo-0000573770|wcvp-2685158|IPNI|7|1|0|0|0
14825|Buchnera ternifolia|1|NO||""|wfo-0000573784|wcvp-2685171|IPNI|2|1|0|0|0
14826|Buchnera tomentosa|1|NO||""|wfo-0000573790|wcvp-2685177|IPNI|2|1|0|0|0
14827|Buchnerodendron speciosum|2|YES|1|TreeGOER|wfo-0000922862|wcvp-2924127|IPNI|2|1|0|0|0
14828|Buchozia japonica|7|NO||""|wfo-1000025849|wcvp-547706|IPNI|4|1|0|0|0
14829|Buckinghamia celsissima|6|YES|1|TreeGOER|wfo-0000573853|wcvp-2685246|IPNI|3|1|0|0|0
14830|Buckinghamia ferruginiflora|2|YES|1|TreeGOER|wfo-0000573854|wcvp-2685247|IPNI|2|1|0|0|0
14831|Bucklandiella affinis|1|NO||""|wfo-0001212339|""|WCVP|1|1|0|0|0
14832|Bucklandiella brevipes|1|NO||""|wfo-0001212343|""|WCVP|1|1|0|0|0
14833|Bucklandiella heterosticha|1|NO||""|wfo-0001212358|""|WCVP|1|1|0|0|0
14834|Bucklandiella lawtonae|1|NO||""|wfo-0001212364|""|WCVP|1|1|0|0|0
14835|Bucklandiella macounii|1|NO||""|wfo-0001212367|""|WCVP|1|1|0|0|0
14836|Bucklandiella microcarpa|1|NO||""|wfo-0001212369|""|WCVP|1|1|0|0|0
14837|Bucklandiella obesa|1|NO||""|wfo-0001212372|""|WCVP|1|1|0|0|0
14838|Bucklandiella occidentalis|1|NO||""|wfo-0001212374|""|WCVP|1|1|0|0|0
14839|Bucklandiella pacifica|1|NO||""|wfo-0001212379|""|WCVP|1|1|0|0|0
14840|Bucklandiella sudetica|1|NO||""|wfo-0001212388|""|WCVP|1|1|0|0|0
14841|Bucklandiella venusta|1|NO||""|wfo-0001212389|""|WCVP|1|1|0|0|0
14842|Buckleya distichophylla|1|NO||""|wfo-0000573861|wcvp-2685255|IPNI|3|1|0|0|0
14843|Buckleya graebneriana|2|NO||""|wfo-0000573862|wcvp-2685256|IPNI|2|1|0|0|0
14844|Buckleya henryi|1|NO||""|wfo-0000573863|wcvp-2685257|IPNI|0|1|0|0|0
14845|Buckleya lanceolata|3|NO||""|wfo-0000573865|wcvp-2685259|IPNI|5|1|0|0|0
14846|Buckollia volubilis|5|NO||""|wfo-0000573869|wcvp-502053|IPNI|0|1|0|0|0
14847|Bucquetia glutinosa|1|YES|1|TreeGOER|wfo-0001082322|wcvp-3023285|IPNI|2|1|0|0|0
14848|Buddleja albiflora|5|NO||""|wfo-0000573902|wcvp-2685297|IPNI|2|1|0|0|0
14849|Buddleja alternifolia|8|YES|1|TreeGOER|wfo-0000573908|wcvp-2685301|IPNI|2|1|0|0|0
14850|Buddleja americana|7|YES|1|TreeGOER|wfo-0000573910|wcvp-2685303|IPNI|3|1|0|1|0
14851|Buddleja araucana|1|NO||""|wfo-0000573919|wcvp-2685311|IPNI|2|1|0|0|0
14852|Buddleja asiatica|16|YES|1|TreeGOER|wfo-0000573923|wcvp-2685315|IPNI|3|1|0|0|0
14853|Buddleja auriculata|4|YES|1|TreeGOER|wfo-0000573930|wcvp-2685321|IPNI|1|1|0|0|0
14854|Buddleja brasiliensis|1|NO||""|wfo-0000573944|wcvp-2685562|WCVP|3|1|0|1|0
14855|Buddleja bullata|1|YES|1|TreeGOER|wfo-0000573948|wcvp-2685338|IPNI|1|1|0|0|0
14856|Buddleja candida|2|NO||""|wfo-0000573959|wcvp-2685348|IPNI|1|1|0|0|0
14857|Buddleja colvilei|4|YES|1|TreeGOER|wfo-0000573976|wcvp-2685363|IPNI|1|1|0|0|0
14858|Buddleja cordata|6|YES|1|TreeGOER|wfo-0000573981|wcvp-2685368|IPNI|4|1|0|0|0
14859|Buddleja cordobensis|1|NO||""|wfo-0000573986|wcvp-2685372|IPNI|1|1|0|0|0
14860|Buddleja coriacea|7|YES|1|TreeGOER|wfo-0000573987|wcvp-2685373|IPNI|1|1|0|0|0
14861|Buddleja corrugata|1|NO||""|wfo-0000573989|wcvp-2685375|IPNI|1|1|0|1|0
14862|Buddleja crispa|3|YES|1|TreeGOER+|wfo-0000573991|wcvp-2685379|IPNI|2|1|0|0|0
14863|Buddleja crotonoides|1|YES|1|TreeGOER|wfo-0000573995|wcvp-2685382|IPNI|1|1|0|0|0
14864|Buddleja curviflora|4|YES|1|TreeGOER|wfo-0000573998|wcvp-2685385|IPNI|3|1|0|0|0
14865|Buddleja davidii|9|NO||""|wfo-0000574004|wcvp-2685390|IPNI|9|1|0|0|0
14866|Buddleja domingensis|1|YES|1|TreeGOER|wfo-0000574019|wcvp-2685403|IPNI|2|1|0|0|0
14867|Buddleja dysophylla|1|YES|2|lifeform liana|wfo-0000574021|wcvp-2685405|IPNI|1|1|0|0|0
14868|Buddleja elegans|3|NO||""|wfo-0000574022|wcvp-2685406|IPNI|2|1|0|0|0
14869|Buddleja euryphylla|1|YES|1|TreeGOER|wfo-0000574027|wcvp-2685410|IPNI|1|1|0|0|0
14870|Buddleja fallowiana|2|YES|1|TreeGOER+|wfo-0000574028|wcvp-2685411|IPNI|1|1|0|0|0
14871|Buddleja forrestii|2|YES|1|TreeGOER+|wfo-0000574039|wcvp-2685421|IPNI|1|1|0|0|0
14872|Buddleja globosa|8|YES|1|TreeGOER+|wfo-0000574052|wcvp-2685433|IPNI|3|1|0|0|0
14873|Buddleja glomerata|1|NO||""|wfo-0000574054|wcvp-2685435|IPNI|1|1|0|0|0
14874|Buddleja incana|6|YES|1|TreeGOER|wfo-0000574086|wcvp-2685465|IPNI|1|1|0|0|0
14875|Buddleja japonica|1|NO||""|wfo-0000574101|wcvp-2685479|IPNI|1|1|0|0|0
14876|Buddleja lindleyana|8|NO||""|wfo-0000574117|wcvp-2685493|IPNI|4|1|0|0|0
14877|Buddleja longifolia|1|YES|1|TreeGOER|wfo-0000574122|wcvp-2685498|IPNI|1|1|0|1|0
14878|Buddleja macrostachya|4|YES|1|TreeGOER|wfo-0000574133|wcvp-2685507|IPNI|4|1|0|0|0
14879|Buddleja madagascariensis|12|YES|1|TreeGOER|wfo-0000574137|wcvp-2685510|IPNI|3|1|0|0|0
14880|Buddleja marrubiifolia|4|NO||""|wfo-0000574140|wcvp-2685513|IPNI|1|1|0|0|0
14881|Buddleja megalocephala|3|YES|1|TreeGOER|wfo-0000574145|wcvp-2685518|IPNI|1|1|0|0|0
14882|Buddleja mendozinensis|1|NO||""|wfo-0000574149|wcvp-2685521|IPNI|1|1|0|0|0
14883|Buddleja montana|1|YES|1|TreeGOER|wfo-0000574160|wcvp-2685531|WCVP|1|1|0|0|0
14884|Buddleja nitida|2|YES|1|TreeGOER|wfo-0000574172|wcvp-2685542|IPNI|1|1|0|0|0
14885|Buddleja nivea|1|NO||""|wfo-0000574173|wcvp-2685543|IPNI|1|1|0|0|0
14886|Buddleja normaniae|1|NO||""|wfo-0001421723|wcvp-3014247|IPNI|1|1|0|0|0
14887|Buddleja officinalis|10|YES|1|TreeGOER|wfo-0000574181|wcvp-2685550|IPNI|2|1|0|0|0
14888|Buddleja paniculata|5|YES|1|TreeGOER|wfo-0000574187|wcvp-2685556|WCVP|2|1|0|0|0
14889|Buddleja parviflora|3|YES|1|TreeGOER|wfo-0000574189|wcvp-2685558|IPNI|4|1|0|0|0
14890|Buddleja perfoliata|3|NO||""|wfo-0000574194|wcvp-2685562|IPNI|2|1|0|0|0
14891|Buddleja pichinchensis|1|YES|1|TreeGOER|wfo-0000574195|wcvp-2685563|IPNI|1|1|0|0|0
14892|Buddleja polycephala|1|YES|1|TreeGOER|wfo-0000574200|wcvp-2685568|IPNI|1|1|0|0|0
14893|Buddleja polystachya|7|YES|1|TreeGOER|wfo-0000574203|wcvp-2685570|IPNI|1|1|0|0|0
14894|Buddleja racemosa|1|NO||""|wfo-0000574216|wcvp-2685582|IPNI|3|1|0|0|0
14895|Buddleja rufescens|1|YES|1|TreeGOER|wfo-0000574225|wcvp-2685590|IPNI|1|1|0|0|0
14896|Buddleja saligna|5|YES|1|TreeGOER|wfo-0000574231|wcvp-2685596|IPNI|5|1|0|0|0
14897|Buddleja salviifolia|6|YES|1|TreeGOER|wfo-0000574234|wcvp-2685599|IPNI|3|1|0|0|0
14898|Buddleja scordioides|4|NO||""|wfo-0000574238|wcvp-2685601|IPNI|2|1|0|0|0
14899|Buddleja sessiliflora|7|YES|1|TreeGOER|wfo-0000574240|wcvp-2685603|IPNI|3|1|0|0|0
14900|Buddleja skutchii|4|YES|1|TreeGOER|wfo-0000574248|wcvp-2685610|WCVP|1|1|0|0|0
14901|Buddleja soratae|1|YES|1|TreeGOER|wfo-0000574249|wcvp-2685612|IPNI|1|1|0|0|0
14902|Buddleja stachyoides|4|NO||""|wfo-0000574256|wcvp-2685619|IPNI|5|1|0|0|0
14903|Buddleja thyrsoides|2|NO||""|wfo-0000574274|wcvp-2685636|IPNI|2|1|0|0|0
14904|Buddleja tubiflora|1|NO||""|wfo-0000574286|wcvp-2685648|IPNI|2|1|0|0|0
